run_date,group,ticker,sector,er_multiple_field,er_multiple_value,er_anchor_xs,er_anchor_own,er_anchor_operative,er_anchor_divergence_pct,er_anchor_divergence,er_rerate_status,er_rerate,er_growth,er_yield,expected_return_12_24m,er_confidence,er_growth_clamped,er_rerate_clamped,er_anchor_mode
20260724,NASDAQ,CALM,Consumer Defensive,fwd_pe,36.346394,15.1717,,15.1717,,False,cross_sectional,-2.5,-25.0,-0.1,-27.6,0.7,True,True,cross_sectional_primary
20260724,NASDAQ,CAMT,Technology,fwd_pe,34.297424,21.4425,,21.4425,,False,cross_sectional,-2.5,-10.0,-1.1,-13.6,0.5,False,True,cross_sectional_primary
20260724,NASDAQ,CART,Consumer Cyclical,fwd_pe,8.964744,15.9096,,15.9096,,False,cross_sectional,10.0,50.0,-10.0,50.0,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,CASY,Consumer Cyclical,fwd_pe,37.133705,15.9096,,15.9096,,False,cross_sectional,-2.5,50.0,0.1,47.6,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,CCC,Technology,fwd_pe,11.324403,21.4425,,21.4425,,False,cross_sectional,10.0,12.0,-3.3,18.7,0.7,False,True,cross_sectional_primary
20260724,NASDAQ,CCEP,Consumer Defensive,fwd_pe,18.53032,15.1717,,15.1717,,False,cross_sectional,-2.4,50.0,0.4,48.0,0.5,True,False,cross_sectional_primary
20260724,NASDAQ,CDNS,Technology,fwd_pe,35.14313,21.4425,,21.4425,,False,cross_sectional,-2.5,23.0,-0.1,20.4,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,CECO,Industrials,ev_ebitda,35.962,18.257,,18.257,,False,cross_sectional,-2.5,38.9,-1.8,34.6,0.7,False,True,cross_sectional_primary
20260724,NASDAQ,CEG,Utilities,ev_ebitda,15.267,13.77,,13.77,,False,cross_sectional,-1.3,50.0,1.6,50.3,0.5,True,False,cross_sectional_primary
20260724,NASDAQ,CELH,Consumer Defensive,fwd_pe,13.730752,15.1717,,15.1717,,False,cross_sectional,5.1,50.0,-3.8,51.3,0.9,True,False,cross_sectional_primary
20260724,NASDAQ,CHA,Consumer Cyclical,fwd_pe,7.0625668,15.9096,,15.9096,,False,cross_sectional,10.0,-25.0,10.3,-4.7,0.9,True,True,cross_sectional_primary
20260724,NASDAQ,CHDN,Consumer Cyclical,fwd_pe,11.503647,15.9096,,15.9096,,False,cross_sectional,10.0,13.4,2.9,26.3,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,CHEF,Consumer Defensive,fwd_pe,35.104015,15.1717,,15.1717,,False,cross_sectional,-2.5,50.0,-0.4,47.1,0.5,True,True,cross_sectional_primary
